detector,scope,n_defects,n_clean,tp,fn,fp,tn,unscored_defects,unscored_clean,recall_n_over_N,clean_fp_n_over_N,precision,recall,f1,clean_fp_rate
deterministic_gate,wrong_numeric_answer,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
deterministic_gate,no_correct_option,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
deterministic_gate,mismatched_solution,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
deterministic_gate,mismatched_hint_ladder,17,17,12,5,0,17,0,0,12/17,0/17,1.0000,0.7059,0.8276,0.0000
deterministic_gate,contradictory_constraints,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
deterministic_gate,near_duplicate,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
deterministic_gate,near_duplicate:name_and_noun_swap,5,17,0,5,0,17,0,0,0/5,0/17,,0.0000,,0.0000
deterministic_gate,near_duplicate:name_swap,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
deterministic_gate,near_duplicate:typography_only,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
deterministic_gate,ALL,102,102,63,39,0,102,0,0,63/102,0/102,1.0000,0.6176,0.7636,0.0000
sympy_rederivation,wrong_numeric_answer,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
sympy_rederivation,no_correct_option,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
sympy_rederivation,mismatched_solution,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
sympy_rederivation,mismatched_hint_ladder,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
sympy_rederivation,contradictory_constraints,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
sympy_rederivation,near_duplicate,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
sympy_rederivation,near_duplicate:name_and_noun_swap,5,17,0,5,0,17,0,0,0/5,0/17,,0.0000,,0.0000
sympy_rederivation,near_duplicate:name_swap,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
sympy_rederivation,near_duplicate:typography_only,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
sympy_rederivation,ALL,102,102,34,68,0,102,0,0,34/102,0/102,1.0000,0.3333,0.5000,0.0000
exact_text_dedup,wrong_numeric_answer,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,no_correct_option,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,mismatched_solution,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,mismatched_hint_ladder,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,contradictory_constraints,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,near_duplicate,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
exact_text_dedup,near_duplicate:name_and_noun_swap,5,17,0,5,0,17,0,0,0/5,0/17,,0.0000,,0.0000
exact_text_dedup,near_duplicate:name_swap,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
exact_text_dedup,near_duplicate:typography_only,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
exact_text_dedup,ALL,102,102,0,102,0,102,0,0,0/102,0/102,,0.0000,,0.0000
arithmetic_identity,wrong_numeric_answer,17,17,2,15,2,15,0,0,2/17,2/17,0.5000,0.1176,0.1905,0.1176
arithmetic_identity,no_correct_option,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
arithmetic_identity,mismatched_solution,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
arithmetic_identity,mismatched_hint_ladder,17,17,1,16,2,15,0,0,1/17,2/17,0.3333,0.0588,0.1000,0.1176
arithmetic_identity,contradictory_constraints,17,17,1,16,0,17,0,0,1/17,0/17,1.0000,0.0588,0.1111,0.0000
arithmetic_identity,near_duplicate,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
arithmetic_identity,near_duplicate:name_and_noun_swap,5,17,5,0,0,17,0,0,5/5,0/17,1.0000,1.0000,1.0000,0.0000
arithmetic_identity,near_duplicate:name_swap,6,17,6,0,0,17,0,0,6/6,0/17,1.0000,1.0000,1.0000,0.0000
arithmetic_identity,near_duplicate:typography_only,6,17,6,0,0,17,0,0,6/6,0/17,1.0000,1.0000,1.0000,0.0000
arithmetic_identity,ALL,102,102,21,81,4,98,0,0,21/102,4/102,0.8400,0.2059,0.3307,0.0392
dedup_embedding,wrong_numeric_answer,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
dedup_embedding,no_correct_option,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
dedup_embedding,mismatched_solution,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
dedup_embedding,mismatched_hint_ladder,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
dedup_embedding,contradictory_constraints,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
dedup_embedding,near_duplicate,17,17,8,9,0,17,0,0,8/17,0/17,1.0000,0.4706,0.6400,0.0000
dedup_embedding,near_duplicate:name_and_noun_swap,5,17,0,5,0,17,0,0,0/5,0/17,,0.0000,,0.0000
dedup_embedding,near_duplicate:name_swap,6,17,2,4,0,17,0,0,2/6,0/17,1.0000,0.3333,0.5000,0.0000
dedup_embedding,near_duplicate:typography_only,6,17,6,0,0,17,0,0,6/6,0/17,1.0000,1.0000,1.0000,0.0000
dedup_embedding,ALL,102,102,8,94,0,102,0,0,8/102,0/102,1.0000,0.0784,0.1455,0.0000
solver_panel,wrong_numeric_answer,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
solver_panel,no_correct_option,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
solver_panel,mismatched_solution,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
solver_panel,mismatched_hint_ladder,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
solver_panel,contradictory_constraints,17,17,13,2,0,17,2,0,13/15,0/17,1.0000,0.8667,0.9286,0.0000
solver_panel,near_duplicate,17,17,0,17,0,17,0,0,0/17,0/17,,0.0000,,0.0000
solver_panel,near_duplicate:name_and_noun_swap,5,17,0,5,0,17,0,0,0/5,0/17,,0.0000,,0.0000
solver_panel,near_duplicate:name_swap,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
solver_panel,near_duplicate:typography_only,6,17,0,6,0,17,0,0,0/6,0/17,,0.0000,,0.0000
solver_panel,ALL,102,102,47,53,0,102,2,0,47/100,0/102,1.0000,0.4700,0.6395,0.0000
combined_pipeline,wrong_numeric_answer,17,17,17,0,2,15,0,0,17/17,2/17,0.8947,1.0000,0.9444,0.1176
combined_pipeline,no_correct_option,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
combined_pipeline,mismatched_solution,17,17,17,0,0,17,0,0,17/17,0/17,1.0000,1.0000,1.0000,0.0000
combined_pipeline,mismatched_hint_ladder,17,17,13,4,2,15,0,0,13/17,2/17,0.8667,0.7647,0.8125,0.1176
combined_pipeline,contradictory_constraints,17,17,13,2,0,17,2,0,13/15,0/17,1.0000,0.8667,0.9286,0.0000
